success,czo_id,hs_id,uname,elapsed_time,public,maps
True,2400,d841f99381424ebc850842a1dbb5630b,czo_christina,1 sec | 0.10 min,True,
True,2403,c635d74874544a72b1145324138b1956,czo_luquillo,1 sec | 0.10 min,True,
True,2406,98574a24d4344b6bb99d12db5f1c4260,czo_sierra,1 sec | 0.10 min,True,
True,2407,3d25b6d404b3454eb62ce588eceeacd6,czo_christina,1 sec | 0.10 min,True,
True,2414,28cb4a35ab88427aa24194feac9e0e61,czo_catalina-jemez,1 sec | 0.10 min,True,
True,2415,5ca1378090884e72a8dcb796d882bb07,czo_catalina-jemez,1 sec | 0.10 min,True,
True,2423,5e6a0596a58a48d5acbbeb0b05c5e243,czo_boulder,1 sec | 0.10 min,True,
True,2425,1db7abcf0eb64ef49000c46a6133949d,czo_catalina-jemez,1 sec | 0.10 min,True,
True,2426,de13d6685e944864aca27217c06ae2bc,czo_boulder,1 sec | 0.10 min,True,
True,2428,4a4b2b04790147828072151b2a4820e1,czo_boulder,1 sec | 0.10 min,True,
True,2429,396b28ed9f204621a724afb40cc4b9b4,czo_boulder,1 sec | 0.10 min,True,
True,2430,48e04554b0b044c095a85c8ee2314134,czo_boulder,1 sec | 0.10 min,True,
True,2431,5f45e73e8e124ab78855f001b954e7ed,czo_boulder,1 sec | 0.10 min,True,
True,2432,04c139d1dab14cacb239e74ff6d65639,czo_catalina-jemez,1 sec | 0.10 min,True,
True,2433,e876ee4739b34f3c840c2588942f0381,czo_boulder,1 sec | 0.10 min,True,
True,2434,a4e4a5914725470494e1eee16907bf86,czo_boulder,1 sec | 0.10 min,True,
True,2435,6bf3e44b9de344749d8f665e139e7311,czo_boulder,1 sec | 0.10 min,True,
True,2436,01279eb2507e43b9a71d7c877958cf65,czo_boulder,1 sec | 0.10 min,True,
True,2447,95d124e2db0448e184c89e1859c67754,czo_boulder,1 sec | 0.10 min,True,
True,2448,c8d95e8119304d5396a9cecdded22fcc,czo_boulder,1 sec | 0.10 min,True,
True,2450,543c6572a58c434ea6507608eaf04924,czo_boulder,1 sec | 0.10 min,True,
True,2451,973e4b7bfe4d486684890051347c86d8,czo_boulder,1 sec | 0.10 min,True,
True,2452,7a785fdd802747668ead06f60d660250,czo_boulder,1 sec | 0.10 min,True,
True,2459,a0986c3b6010466da4522620fc8dd14d,czo_boulder,1 sec | 0.10 min,True,101214_landClass_Convertedgg_copy.jpg
True,2460,c9679d894e87483d9b6b5591f77ee79b,czo_boulder,1 sec | 0.10 min,True,101214_landClass_Convertedgg_copy.jpg
True,2461,71470ee608ef438488d1c9c7d122157d,czo_boulder,1 sec | 0.10 min,True,101214_landClass_Convertedgg_copy.jpg
True,2464,c29f39c122c3411c97a3bfb933f156a2,czo_christina,1 sec | 0.10 min,True,
True,2465,e9f2ce8da1264a2eb70f643267028955,czo_christina,1 sec | 0.10 min,True,
True,2467,9a04a43fa959474d8fe26a5780a757ff,czo_boulder,1 sec | 0.10 min,True,
True,2468,4a12a3b0224640e6a572e840c93bbf7f,czo_boulder,1 sec | 0.10 min,True,
True,2469,7d882820166f4695ae614fe436db5172,czo_catalina-jemez,1 sec | 0.10 min,True,
True,2473,de5d0a4f98aa4d98a54f9f67868f41aa,czo_christina,1 sec | 0.10 min,True,
True,2474,4e8ecb6c93a64d7284fc76c5aa191885,czo_christina,1 sec | 0.10 min,True,
